Angel,Action and Adventure,5,110,"Joss Whedon, the creator and executive producer of the international hit series Buffy the Vampire Slayer, combines supernatural adventure and dark humor in this next chapter of the Buffy mythology.  Just as Whedon and executive producer David Greenwalt brought the monsters of adolescence to life with Buffy, this one-hour series explores the twists and turns of early adulthood with the same irony and wit.

A centuries-old vampire cursed with a conscience, Angel left the small California town of Sunnydale and the only woman he ever loved to take up residence in Los Angeles, the City of Angels.  Between pervasive evil and countless temptations lurking beneath the city's glittery facade, L.A. ha"
Angel Beats,Anime,1,14,Otonashi is a young boy living in the afterlife with no memories of his life before his death. He joins a school organization  called the SSS whose mission is to fight against God.
Angie Tribeca,Comedy,1,10,"From the minds of Steve and Nancy Carell comes TBS's hit comedy series Angie Tribeca, starring Rashida Jones as lone-wolf LAPD Detective Angie Tribeca and Hayes MacArthur as her new partner, J. Geils, with whom she shares a will-they-or-won't-they sexual tension. Under the supervision of the apoplectic Captain Atkins (Jere Burns) and with the assistance of Detective Danny Tanner (Deon Cole); his K9 partner, Hoffman (Jagger); and brilliant medical examiner Dr. Monica Scholls (Andrée Vermeulen), Tribeca and Geils investigate the city's most heinous crimes, from the murder of a ventriloquist to a rash of baker suicides."
Angle of Attack: How Naval Aviation Changed the Face of War,Documentaries,1,2,"Angle of Attack is an exciting new journey that takes viewers from the earliest origins of manned military flight to the most advanced unmanned predator drones of today.

From the battlefields of yesterday, today, and tomorrow, Angle of Attack provides stunning, previously unseen footage of the most modern naval military aircraft and advanced unmanned predator drones ever designed, as well as a sweeping journey through naval aviation history. Featuring interviews with aviation experts and the men who flew and designed the most important military aircraft of all time, Angle of Attack examines the role of naval aviation in each of our nation's greatest conflicts. Angle of Attack gives a new un"
Animal Fun With Tillie the Duck,Kids,2,8,"Tillie has so many play dates coming over to her house today! You and your child will meet Caleb the Cat, Harry the Horse and Daphne the Duck."
Annoying Orange,Animation and Cartoons~Primetime Animation,2,60,"The High Fructose Adventures of Annoying Orange follows Orange & pals Pear, Passion Fruit, Marshmallow, Grapefruit & Nerville (YouTube star Toby Turner) as they travel time & space in their amazing fruit cart. From the Old West to Outer Space, join Orange & crew as they drop into crazy adventures & are forced to squeeze their way out!"
Another,Anime~Anime - Supernatural and Horror,1,12,"Mei Misaki was cute, athletic and one of the most popular girls in her school. Why should a little thing like death change that? 23 years later, a new transfer student discovers that not only is his schools student body one corpse short of a full roster, but that some secrets never leave high school. As the school bells toll a deadly dirge and students begin to die, things that were never properly buried come back to haunt the high school of the damned in ANOTHER!"
A.N.T. Farm,Family,3,65,"Chyna Sparks and her friends Olive and Fletcher are the newest members of the A.N.T. (Advanced Natural Talents) program, which means they’re leaving middle school behind and heading straight to high school! The schoolwork may be tough, but fitting in with the older students is even tougher. But when they put their heads together, there’s nothing these best friends can’t handle!"
Anyone But Me,Drama,3,26,A new generation searching for  love and belonging in the post 9/11 age.
Aoharu x Machinegun,Anime~Anime - Action Adventure,1,12,"When high school student Hotaru Tachibana learns that her friend was conned by a host, Tachibana storms into the club demanding retribution. The host turns out to be her new neighbor, who challenges her to a “Survival Game” to cover the damages Tachibana inflicted on the club. Soon, Tachibana is swept up in the addictive world of “Survival Games” with the host, Matsuoka, and their third team mate, an ero-manga artist. The problem: Tachibana can’t let Matsuoka find out she’s really a girl!"
APB,Drama~Police Drama,1,4,A billionaire makes a deal to turn a district of the Chicago Police Department into a private force.
Aquarion,Anime,1,26,"When the Shadow Angels invade after 12,000 years of slumber, humanity is held captive by fear and sheer alien dominance. Eleven years after the Great Catastrophe decimated the world, most of those left alive are scavengers, dirty and starving in the streets. There is hope, however - Mechanical Angel Aquarion! Powered by three souls intertwined, a rare breed of pilot takes the controls. Known as Elements, one among them must rise if mankind is to survive. Prophecy is being fulfilled as the end of the world approaches… Through a swirling cloud of love, betrayal, loss and destiny, the last hope for the new century arrives and takes flight!"
Aquarion EVOL,Anime~Anime - Science Fiction,1,26,"After accidentally forming the legendary mecha ""Aquarion,"" Amata finds himself at a pilot-training academy where the girls are flirty and the boys seem more interested in exploring holes and big bangs than harnessing their Elemental superpowers."
Aqua Teen Hunger Force,Animation and Cartoons,11,138,"First of all, they're not teens. Secondly, there's not water involved. The whole Hunger Force thing? That's probably misleading, too. In short, if you have to ask what ""Aqua Teen Hunger Force"" is about, it is probably not a show for you. The rest of us will go on thrilling to the adventures of Frylock, Meatwad, and Master Shake as they, you know... hang out."
Archangel,Action and Adventure~Espionage,1,3,"A fast paced contemporary mystery, set amongst the frozen landscapes of deepest Russia.  Based on the best selling novel by Robert Harris (Enigma, Fatherland), a master of the thriller genre, Archangel brings to the screen just about the most gripping story of suspense drama that you could ever imagine"
Archer,Action and Adventure~Espionage,6,75,"Archer is an animated, half-hour comedy that revolves around an international spy agency and the lives of its employees. Although their work of espionage, reconnaissance missions, wiretapping and undercover surveillance is daunting and dangerous, every covert operation and global crisis is actually just another excuse for the staff to undermine, sabotage and betray each other for personal gain. The series features the voices of H. Jon Benjamin as the highly skilled and incredibly vain master spy ""Sterling Archer;” Aisha Tyler as Archer’s fellow agent and ex-girlfriend, ""Lana Kane;” Jessica Walter as Archer’s domineering mother and spy agency director, ""Malory Archer;” Chris Parnell"
Argevollen,Anime~Anime - Action Adventure,1,24,"The story takes place in a world where two countries, Arandas and Ingelmia, have been warring against each other for a very long time. Tokimune, a young man belonging to the eighth autonomous unit of Arandas, saves a girl named Jamie when she is attacked by enemy forces. In order to survive, he rides the new weapon Argevollen and fights."
Aria: The Scarlet Ammo,Anime,2,24,"Kinji is a junior at a high school for mercenaries. He just wants to be normal, but his secret condition - he turns into an ace killer when he's turned on by the female form - triggers a fiery transfer student's unrelenting desire to make him her partner."
Army Wives,Drama,7,117,The lives of military families on an Army Base.
Around the World: 52 Adventures,Documentaries,1,5,"Join globe-trotting BBC film crews for fifty-two incredible mini-documentaries. Delve into the histories and mysteries of civilizations old and new.  See wildlife in every conceivable habitat across six continents.  Search out every corner of the globe for natural and manmade wonders throughout Europe, East and West Asia, Africa, North and South America  and Australia."
Arrested Development,Comedy~Sitcoms,3,53,"In this critically acclaimed series, Michael Bluth is forced to help his wildly eccentric family pick up the pieces after its wealthy patriarch is arrested and its assets frozen."
Artbound,Documentaries,8,40,"Artbound explores the arts and culture of Southern California through articles, essays, and thinkpieces by more than 30 contributors in 11 counties. These correspondents cover cultural happenings in the communities where they live, providing an inside look at art across the region. Then the Artbound audience votes online for an article to be made into a short online video. Those videos are then assembled into the broadcast television show."
Assassination Classroom,Anime~Anime - Comedy,2,47,"Forget about homework. The students of Class 3E have a more important assignment: kill the teacher! Their tentacle-d sensei moves at Mach 20, and he’s out to conquer the classroom after destroying most of the moon!"
The Asterisk War,Animation and Cartoons,2,24,"Invertia (meteor storm)… an unprecedented disaster that struck the world during the 20th century. Because of this disaster, numerous cities around the world were destroyed. However, within the meteor, an unknown element called mana (all-encompassing element), was discovered, which allowed human technology to make rapid strides, and gave rise to a new species of human born with unique skills – the Star Pulse Generation (Genestella). The setting for the world’s greatest all-around battle entertainment, the Festas (Star Warrior Festivals), is an academy city above the water surrounded by six academies called Rikka, also commonly known as Asterisk. Having transferred into Seidoukan Academy"
Astroblast!,Animation and Cartoons,1,52,"Run by a cast of animal characters including Comet, Halley, Sputnik, Radar, Jet and Sal the Octopus, the Astroblast! Space Station is the coolest hangout in the galaxy. Through the crew's friendship, the series imparts important messages about how to embrace differences, model positive relationships and foster healthy habits to be the best good-will ambassadors in the universe."
Astroblast! en Español,Animation and Cartoons,1,6,"La estación espacial Astroblast! Dirigida por personajes animales como Comet, Halley, Sputnik, Radas, Jet y Sal el pulpo, es el lugar más divertido de la galaxia. A través de la amistad de sus personajes, la serie imparte importantes lecciones como a aceptar las diferencias, inspirar relaciones positivas y promover hábitos saludables con el fin de convertirse en buenos embajadores del universo."
Astro Boy,Animation and Cartoons,1,50,"Japanese Animated series which tells the tale of a permanently youthful robot boy modeled after the deceased son of a research scientist. Originally intended to be kept a secret, the Pinocchio-like character becomes a publicly renowned superhero -- complete with devices like laser-firing fingers, uncanny hearing, and jet-powered boots -- all eventually used to repulse an alien invasion of Earth."
Astro Boy en Español,Action and Adventure,2,36,"En una nueva temporada basada en la clásica serie de anime, Astro Boy es revivido en el retro-futurista Ministerio de Ciencias de Ciudad Metro por el amable Dr. O'Shay. Años antes, el Dr. Tenma, el predecesor de O'Shay y brillante científico, creó Astro a imagen de su difunto hijo, solo para volverse contra él en su búsqueda obsesiva de autoridad absoluta. Ahora que vive bajo la amable tutela de O'Shay, Astro es habilidoso y fuerte. Capaz de volar a velocidades supersónicas, tiene un agudo sentido de la justicia templada solo por sus tendencias más infantiles. Ya sea luchando contra el malvado Dr. Tenma y su poderoso ejército androide, cuidando a Zoran, la pequeña y traviesa herman"
