Accident Investigator,Documentaries,1,9,"When physics meets human nature, car crashes are not just about death and destruction. They're also about greed, lying, deception, and instinct. The Accident Investigators are a class of forensic aces who decode the signs left at crash sites to crack these difficult cases, giving the families of the victims much needed closure. "
Adam-12,Classics,4,86,"Two LAPD officers, a rookie and a six year veteran, patrol the streets of Los Angeles"
The Addams Family,Classics,2,64,"They're creepy and they're kooky, mysterious and spooky, and altogether OOKY! ""The Addams Family"", America's first family of ghastly giddiness, are here in all of their ghoulish glory in the original TV series based on the delightfully demented imagination of Charles Addams. Tarantulas, torture racks, and tombstones have never been so much fun! Join Gomez, Morticia, Pugsley, Wednesday, Uncle Fester, Lurch, Thing, Cousin Itt, and the rest of the gang for a fiendishly funny and altogether kooky experience. So get your witches shawl on, a broomstick you can crawl on, and pay a call on The Addams Family!"
The Adventures of Black Beauty,Action and Adventure,2,52,"Thrilling generation after generation, this heartwarming, classic tale of a family and their beloved horse is brought to life in this groundbreaking series. Featuring a top-notch cast, this show has entranced viewers around the world with its mix of charm, period detail and weekly perils. Two children learn the value of compassion and kindness when they take home a mistreated but still majestic ebony horse and nurse him back to health. Come along for these exciting episodes as young Vicky and Kevin share many compelling adventures with an extraordinary horse that changes their lives."
The Adventures Of Figaro Pho,Animation and Cartoons,1,39,"Everyone of us has got at least one irrational fear...in the case of Figaro Pho, he has them all. The Adventures of Figaro Pho is a series about a warm-hearted, adorable, quirky and mischievous character who just happens to be afflicted with every phobia imaginable. He's afraid of vampires, toilets, mad dogs, aliens, and being stared at by a duck! He's also petrified of being alone, and so Figaro has created a mechanical companion - a dog-like robot he calls Rivet."
"The Adventures of Jimmy Neutron, Boy Genius",Animation and Cartoons~Saturday Morning Cartoons,3,54,"Jimmy Neutron is the smartest kid in town. As a genius, Jimmy thinks most things can be solved with the invention of a new gizmo. But Jimmy usually takes the easy way out, and his backfiring gadgets result in comedic adventures."
The Adventures of Paddington Bear,Animation and Cartoons,3,39,"Paddington Bear doesn’t go looking for adventure.  It just seems to find him.  And when it does, there’s no telling what will happen.  One thing is for sure – wherever Paddington Bear goes, there’s chaos, a bit of panic and lots of laughs."
The Adventures of Paddington Bear (Español),Kids,1,5,"Paddington Bear no va buscando aventuras. Las aventuras lo consiguen a él. Y cuando esto sucede, lo que sigue es impredecible. Una cosa sí es segura - a donde quiera que Paddington va, ocurren desastres y muchísimas risas."
The Adventures of Sherlock Holmes,Classics,1,39,"The adventures of master detective Sherlock Holmes as he and his assistant, Dr. Watson, (and somewhat reluctantly, the bumbling Inspector Lestrade) battle criminals in London."
The Adventures of Swiss Family Robinson,Family,1,10,"Emmy-winner Richard Thomas (The Waltons) stars in this exciting series based on Johann David Wyss's family classic. Cutthroat pirates, warring natives, and wild animals are just some of the dangers this close-knit family face."
Adventure Time,Animation and Cartoons,7,223,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!"
Aesthetica of a Rogue Hero,Anime,1,14,"In the fantasy world of  Arezard, the rogue hero Akatsuki - at the request of the defeated Demon King - agrees to protect his fallen enemy's daughter, Miu, and return with her to world from which he came."
Afro Samurai,Anime~Anime - Action Adventure,1,5,"He's a legend with an ice cold soul and a jones for revenge: Afro Samurai. As a kid, he saw his father slaughtered. Now a man, Afro journeys to the mountain to face destiny. The perpetrators are gonna get what they deserve. Starring Samuel L. Jackson."
After Hours with Daniel,Food,3,28,"Join Chef Daniel Boulud and his celebrity and top chef guests behind-the-scenes at America's best restaurants as they trade recipes, culinary secrets and untold stories."
Agatha Christie's Marple,Drama~Crime and Courtroom Drama,6,23,Agatha Christie's crime thrillers featuring the author's much-loved spinster sleuth Miss Jane Marple.
Agent X,Drama~Crime and Courtroom Drama,1,10,"Agent X is a spirited action-drama starring Jeff Hephner, Sharon Stone and Gerald McRaney. In times of extreme crisis, when traditional law and government aren't in a position to help, there is an unseen hand that works to protect this country and its citizens from all manner of threats by any means necessary. Hidden from the view of the public - and even from the President - there is a top secret agent who is trained and ready to serve, deployed only at the careful discretion of the Vice President. The agent at the center of Agent X is John Case. Case is a smooth, athletic, tough and quick-witted operative who can be brutally effective when his duties require it. Vice President, Natalie Mac"
Air Gear,Anime,1,50,"Tough guy Ikki rules his school, but when he's defeated by a gang of Storm Riders, the four sisters he lives with welcome him to the world of Air Trecks - motor-powered inline skates. With his new wings, Ikki fights in fierce Air Treck battles."
Airwolf,Action and Adventure~80s Action,4,75,"A loner test pilot and his mentor use their military-grade helicopter to fight crime.
"
Akame ga Kill,Anime~Anime - Action Adventure,1,24,"Tatsumi arrives in the Imperial Capital in hopes of earning money for his impoverished village. While stranded in the streets, he attracts the attention of a wealthy family that offers to take him in. Unfortunately, his would-be benefactors are attacked by a group of killers known as Night Raid. Beneath the thin veneer of the Capital lies a teeming hive of corruption. With nowhere else to turn, Tatsumi joins the Night Raid to help put a stop to the wicked ways of the Capital once and for all."
Akane Iro ni Somaru Saka,Anime,1,13,"Jun'ichi Nagase was a delinquent in middle school, one nasty enough that he earned the nickame ""Geno Killer,"" and it's by this less than flattering epithet that Yuuhi Katagiri first comes to know him when he rescues her from two thugs one evening. The next day, she's transferred into his class and arrives at his home announcing that their parents have arranged their marriage."
Alaskan Bush People,Reality and Game Shows~Real Life Drama,2,14,"Deep in the Alaskan wilderness lives a family who, for the last thirty years, has lived in the wild. For this family, living in a one-room cabin, going six to nine months without seeing an outsider, and sharing their front yard with some of the world’s most dangerous animals is just part of life."
Alaska: The Last Frontier,Reality and Game Shows,5,78,"The Kilcher family lives on a 600-acre homestead in Alaska. For four generations, they have lived off the land in a subsitence lifestyle."
Albert & Junior,Family,1,2,"Albert is a curious three year old boy who relies on his best friend, Junior, to answer all the questions he has about the world. When Albert’s mom suggests something – he begins to wonder… why does it rain; what is the biggest animal in the world; what is the highest mountain? When his buddy Junior responds, the viewers are taken on a journey of discovery as the answers to Albert’s questions are revealed by the always smart and investigative, Junior."
ALDNOAH.ZERO,Anime~Anime - Science Fiction,2,24,"Fifteen years have passed since the catastrophe of the hypergate collapsing on the moon’s surface, known as the Heavens’ Fall. The war between the citizens of Earth (Terrans) and the Vers Empire of Mars is now at a ceasefire. They are far from any agreement over which civilization is the rightful heir to the power of the ALDNOAH, an ancient Martian technology discovered not long after the celestial hypergate. Princess Asseylum Vers Allusia descended upon earth as an ambassador to bring reconciliation, but some were not willing to compromise. Inaho Kaizuka is a Terran high school student. Slaine Troyard swears his allegiance to Vers. As citizens of both societies witness the assassination"
Alfred Hitchcock Presents,Classics,4,149," Alfred Hitchcock presents short stories filled with elements of horror, comedy and suspense.
"
Alias,Action and Adventure~Espionage,5,105,ABC's Alias focuses on young spy Sydney Bristow as she travels around the world incognito. Fighting the bad guys. Wrestling with inner demons. These are typical of her not-so-typical job as a secret agent.
Alias Smith And Jones,Action and Adventure~Westerns,2,35,"Hannibal Heyes and Kid Curry were two of the West's most wanted outlaws, but granted a reprieve, these two former outlaws must use their wits to stay clear of trouble. 
"
The Aliens,Drama,1,6,"Aliens have landed in the UK and are now unwanted immigrants living in a walled off section of town. Lewis is a border guard making sure Aliens and humans remain separate, but when he discovers that he's half alien, his whole world is turned on its head."
All Saints,Drama~Medical Drama,12,493,All Saints is an Australian medical drama focused on the nursing staff of Ward 17.
Ally McBeal,Comedy,5,111,A quirky series about a wistfully idealistic -- if perennially insecure -- lawyer and her chaotic life at a Boston firm.
Almost Royal,Comedy~British Comedy,2,15,"Georgie (Ed Gamble) and Poppy Carlton (Amy Hoggart), heirs to Caunty Manor, have agreed to have a camera crew follow them on an unofficial royal tour of the United States of America."
Amagami SS,Anime~Anime - Romance,1,26,"After being stood up on Christmas Eve, Junichi Tachibana is finally opening up to the idea of getting a new girlfriend. Follow the romatic adventure as Junichi makes up for lost time and tries to woo the cutest and craziest girls on campus!"
The Amazing Race,Reality and Game Shows~Competition,27,315,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime. Multiple Emmy-award winner for Outstanding Reality-Competition Program. "
The Amazing World of Gumball,Animation and Cartoons,4,156,"Gumball’s world is pretty run-of-the-mill. He’s chased around school by a T-Rex. He has a friend named Anton who’s a piece of toast. He’s got a crush on Penny, a peanut with antlers. His dad is a 6’4” bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here."
The Ambition of Oda Nobuna,Anime~Anime - Action Adventure,1,12,"Ordinary high schooler Yoshiharu gets pulled into a time slip to the warring states period. There he meets Nobuna Oda - not Nobunaga, Nobuna. In this world, all the famous warlords of the era are female. Nobuna recruits Sagara, who she dubs ""Monkey,"" to help her in her quest to rule the world."
America Divided,Documentaries,1,5,Common returns to his hometown of Chicago – a city on fire in the aftermath of the brutal police killing of teenager Laquan McDonald.
American Dad!,Animation and Cartoons~Primetime Animation,9,172,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.
American Gothic,Horror and Suspense~Paranormal,1,22,"In a small town in South Carolina, not everyone is as they seem."
American Greed,Documentaries,11,122,"The scams, the schemes, the broken dreams. Some people will do anything for money. Narrated by Stacy Keach, American Greed presents outrageous and heartbreaking stories of fighting white collar crime. Brazen Ponzi schemes, mortgage fraud, ruined lives, and more."
American Greed: The Fugitives,Documentaries,2,13,CNBC follows the money trail in search of the most wanted white-collar fugitives.
American Grit,Reality and Game Shows,1,9,Sixteen of the country’s toughest men and women will be split into four teams as they work together to face a variety of military-grade and survival-themed challenges. John Cena and an elite group of mentors from the nation’s most exclusive military units will push these civilians beyond their limits.
American Horror Story,Horror and Suspense~Paranormal,5,63,"American Horror Story begins by exploring a subversive modern horror tale via the story of the Harmons, a family of three who move from Boston to Los Angeles as a means to reconcile past anguish. In Season 2, American Horror Story: Asylum, a dark story unfolds in a Church-run haven for the criminally insane, ruled with an iron fist by Sister Jude, a nun with a troubled past. Inside this locked down facility, danger lurks around every corner. In Season 3, American Horror Story: Coven, the secret history of witches and witchcraft in America is exposed. Mysterious attacks have been escalating against their kind and young girls are being sent away to a special school in New Orleans to learn how "
American Housewife,Comedy~Sitcoms,1,15,"A confident, unapologetic wife and mother of three, raises her flawed family in the wealthy town of Westport, Connecticut, filled with ""perfect"" mommies and their ""perfect"" offspring."
American Muscle Car,Documentaries,1,12,"The American Muscle Car series relives that incredible time when Detroit produced the most outrageous cars ever to hit the street. From the car that started it all, the 1964 Pontiac GTO, experience the glory days of power and speed through the stories of those who lived and breathed it."
American Ninja Warrior,Reality and Game Shows~Competition,1,6,"""American Ninja Warrior"" returns for an exciting eighth season this summer on NBC.

Matt Iseman returns as host, along with former NFL player Akbar Gbajabiamila (NFL Network) and co-host Kristine Leahy (FOX Sports). Original episodes air exclusively on NBC with encore presentations on Esquire Network.
 
The action-packed series follows competitors as they tackle a series of challenging obstacle courses in both city qualifying and city finals rounds across the country. Those that successfully complete the finals course in their designated region move on to the national finals round in Las Vegas, where they face a stunning four-stage course modeled after the famed Mt. Midoriyama course in Jap"
American Pickers,Reality and Game Shows~Real Life Drama,2,38,"American Pickers follows Mike Wolfe and Frank Fritz as they travel the country searching for American treasures.  While hitting the back roads from coast to coast, they meet quirky characters with amazing stories and forgotten relics hidden in their junkyards, basements, garages and barns."
America's Funniest Home Videos,Comedy,1,5,"From practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on ABC pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!"
America's Funniest Home Videos: Kids,Comedy,5,26,America's Funniest Home Videos brings you the best of the best in this collection from the original show. Hosted by Tom Bergeron
America's Most Smartest Model,Reality and Game Shows~Competition,1,11,"Eighteen budding models must convince academic Renaissance man Ben Stein and fashion industry guru Mary Alice Stephenson that they possess brains as well as beauty.  But not everyone can spell success or walk and talk their way down a runway!   Who will make the callback, and who will be sent packing?"
America's National Parks Collection,Documentaries,1,3,"This gorgeous tour of America's most beautiful parks captures the unfolding wonder that millions of visitors experience each year.  In addition to captivating cinematography - shot by acclaimed filmmaker Mr. Dennis Burkhart - each program includes a comprehensive look at the history of the parks.  From the ancient ice age and seismic events that formed each park's unique terrain, to the first Native American inhabitants who settled it, to the legislation that made each magnificent place a protected National Park to be enjoyed by all!  Ready for an adventure?  You will also see highlights of contemporary park activities that visitors can enjoy today.  There are rock climbing pathways up sheer"
America's Next Top Model,Reality and Game Shows,17,210,"Young women of various backgrounds, shapes and sizes compete to prove that they can make it in the high-stress, high-stakes world of modeling. With mentoring by supermodel Tyra Banks and exposure to prolific fashion-industry gurus, the finalists compete in an accelerated modeling boot camp. Participants learn to master complicated catwalks, fashion photo shoots and perfect publicity skills, all under 24-hour-a-day surveillance of the cameras that chronicle every move."
Amnesia (2013),Anime~Anime - Drama,1,12,"A young lady awakens to find that she has lost all her memories. With only a cell phone and the guidance of a young boy only she can see, she struggles to make sense of her new life."
Amores con Trampa,Drama~Telenovelas,1,125,Los Carmona viven en el campo y su vida cambiará radicalmente cuando el gobierno les expropia su terreno y se mudan a la ciudad. En su nueva casa se encontrarán con la adinerada familia Velasco con quienes tendrán muchas aventuras.
Ancient Aliens,Documentaries,4,35,"If aliens visited Earth in the past, could they make an appearance in the future? For ancient alien theorists, the answer is a resounding yes. They believe that, by sharing their views with the world, they can help prepare future generations for the inevitable encounter that awaits them."
Andy Barker P.I.,Comedy~Sitcoms,1,6,A CPA gets mistaken for a Private Eye.
